uid,name,type,information,lng,lat,time_start,time_end
336,關廟服務區南下站,加油站,(06)5552772,120.35081,22.92763,0,23
337,關廟服務區北上站,加油站,(06)5552826,120.35315,22.93044,0,23
338,建國二路站,加油站,(07)2383484,120.3108333,22.63777778,0,23
339,岡山站,加油站,(07)6252450,120.2977778,22.78222222,0,23
340,後勁站,加油站,(07)3613018,120.3097222,22.7163888,0,23
341,左營站,加油站,(07)5825621,120.2863889,22.67111111,0,23
342,中華三路站,加油站,(07)2851354,120.2955556,22.63055556,0,23
343,建工路站,加油站,(07)3832928,120.3247222,22.65027778,0,23
344,五甲站,加油站,(07)7460364,120.3547222,22.61833333,0,23
345,中正路站,加油站,(08)7364224,120.4947222,22.68555556,0,23
346,鳳松站,加油站,(07)7431562,120.3627778,22.63694444,0,23
347,潮州站,加油站,(08)7882044,120.54,22.55694444,0,23
348,東港站,加油站,(08)8322352,120.455,22.47166667,0,23
349,瑞豐站,加油站,(07)7610629,120.336653,22.604724,0,23
350,梓官站,加油站,(07)6173555,120.2625,22.76027778,0,23
351,民權路站,加油站,(07)3316290,120.3136111,22.60972222,0,23
352,里港站,加油站,(08)7752054,120.4936111,22.77222222,0,23
353,高鳳站,加油站,(07)7491901,120.3425,22.62833333,0,23
354,漁港路站,加油站,(07)8216516,120.3188889,22.57833333,0,23
355,覺民路站,加油站,(07)3869992,120.3344444,22.64083333,0,23
356,鼎山路站,加油站,(07)3839681,120.3219444,22.65722222,0,23
357,建國一路站,加油站,(07)7518715,120.33,22.63277778,0,23
358,復興路站,加油站,(08)7525421,120.4877778,22.66083333,0,23
359,新埤站,加油站,(08)7971017,120.5483333,22.46972222,0,23
360,仁武站,加油站,(07)3711361,120.3444444,22.70333333,0,23
361,南州交流道站,加油站,(08)8644993,120.5388889,22.49166667,0,23
362,楠梓交流道站,加油站,(07)3537642,120.3311111,22.72222222,0,23
363,南埔站,加油站,(03)8522853,121.5897222,23.96416667,0,23
364,北埔站,加油站,(03)8266825,121.6036111,24.03944444,0,23
365,中山路站,加油站,(03)8561117,121.595,23.99583333,0,23
366,羅東站,加油站,(03)9654651,121.769256,24.697584,0,23
367,宜蘭站,加油站,(03)9282621,121.756575,24.770564,0,23
368,員山站,加油站,(03)9223041,121.731031,24.747724,0,23
369,冬山站,加油站,(03)9591316,121.787001,24.641578,0,23
370,中山路站,加油站,(089)323132,121.1480556,22.75305556,0,23
371,卑南站,加油站,(089)222010,121.1266667,22.7775,0,23
372,車亭三義,加油站,(037)875000,120.759627,24.39039,0,23
373,長利,加油站,(037)689092,120.922219,24.703059,0,23
374,新發,加油站,(037)869628,120.647317,24.442302,0,23
375,必勝,加油站,(037)582611,120.906826,24.730465,0,23
376,和源,加油站,(037)252503,120.849008,24.574118,0,23
377,吉盛,加油站,(037)733377,120.780021,24.60122,0,23
378,銓豐,加油站,(037)230736,120.819241,24.526909,0,23
379,南北通,加油站,(037)765656,120.701093,24.496192,0,23
380,百盛,加油站,(037)630088,120.888974,24.694353,0,23
381,易鋐,加油站,(037)743500,120.665034,24.401522,0,23
382,竹苗,加油站,(037)672288,120.921424,24.715052,0,23
383,車亭頭份,加油站,(037)690611,120.924865,24.689146,0,23
384,台莊苗栗,加油站,(037)269448,120.824622,24.593347,0,23
385,苗交,加油站,(037)226399,120.819185,24.528153,0,23
386,車亭竹南,加油站,(037)472906,120.854896,24.672384,0,23
387,車亭竹南二,加油站,(037)468225,120.85448,24.672137,0,23
388,公園,加油站,(03)5610079,120.979887,24.803159,0,23
389,大橋,加油站,(03)5312536,120.995392,24.818435,0,23
390,民弘,加油站,(03)5312866,120.980829,24.812655,0,23
391,百祥,加油站,(03)5387876,120.92631,24.787003,0,23
392,北海,加油站,(03)5985001,121.023004,24.87576,0,23
393,佑順,加油站,(03)5517818,120.997184,24.825788,0,23
394,廣源,加油站,(03)5923038,121.076752,24.77084,0,23
395,信政,加油站,(03)5928151,121.095145,24.752199,0,23
396,正塘,加油站,(03)5366523,120.92719,24.827236,0,23
397,聖豐,加油站,(03)5986716,121.018131,24.875187,0,23
398,永富,加油站,(03)5330892,120.955647,24.818139,0,23
399,好客,加油站,(03)5928981,121.073772,24.775377,0,23
400,昇冠,加油站,(03)5348887,120.967469,24.813649,0,23
401,新崎,加油站,(03)6993085,121.041568,24.891161,0,23
402,六家,加油站,(03)5509791,121.023116,24.813467,0,23
403,尚隆,加油站,(03)5365678,120.929287,24.839504,0,23
404,新慰,加油站,(03)5905772,121.011208,24.882922,0,23
405,茄苳,加油站,(03)5202858,120.954221,24.754494,0,23
406,昌隆,加油站,(03)5353556,120.980713,24.821192,0,23
407,台大,加油站,(03)5504424,121.032578,24.82526,0,23
408,公道五,加油站,(03)5166338,121.002419,24.801041,0,23
409,車容坊北興路,加油站,(03)5100875,121.094287,24.737643,0,23
410,昇隆,加油站,(03)5535656,120.985269,24.840863,0,23
411,成功路,加油站,(035)998989,121.0386613,24.8991651,0,23
412,永美,加油站,(05)6327947,120.409202,23.684667,0,23
413,南新,加油站,(05)2379628,120.386296,23.496084,0,23
414,南壇,加油站,(05)7812731,120.322969,23.560491,0,23
415,一品,加油站,(05)3692726,120.246861,23.434266,0,23
416,沿海,加油站,(05)7992675,120.162985,23.610148,0,23
417,民生,加油站,(05)2854046,120.432301,23.452312,0,23
418,泰鋒(朴子),加油站,(05)3702929,120.241001,23.457239,0,23
419,新生路,加油站,(05)2778220,120.456083,23.495458,0,23
